2025-10-02|14:22:10|Coffee and croissant|Starbucks|-8.75
2025-10-04|11:30|Groceries|Trader Joe's|-120.40
2025-10-06|08:10|Subway pass|MTA|-33.00
2025-10-07|12:00|Lunch with team|Chipotle|-15.25
2025-09-28|10:00|Book purchase|Barnes & Noble|-22.50
2025-08-15|13:45|New headphones|Best Buy|-199.99
2025-10-02|14:22:10|Coffee and croissant|Starbucks|-8.75
2025-10-04|11:30|Groceries|Trader Joe's|-120.40
2025-10-06|08:10|Subway pass|MTA|-33.00
2025-10-07|12:00|Lunch with team|Chipotle|-15.25
2025-09-28|10:00|Book purchase|Barnes & Noble|-22.50
2025-08-15|13:45|New headphones|Best Buy|-199.99
2025-10-02|14:22:10|Coffee and croissant|Starbucks|-8.75
2025-10-04|11:30|Groceries|Trader Joe's|-120.40
2025-10-06|08:10|Subway pass|MTA|-33.00
2025-10-07|12:00|Lunch with team|Chipotle|-15.25
2025-09-28|10:00|Book purchase|Barnes & Noble|-22.50
2025-08-15|13:45|New headphones|Best Buy|-199.99
2025-10-07|12:00|Lunch with team|Chipotle|-15.25
2025-10-06|08:10|Subway pass|MTA|-33.00
2025-10-04|11:30|Groceries|Trader Joe's|-120.40
2025-10-02|14:22:10|Coffee and croissant|Starbucks|-8.75
2025-09-28|10:00|Book purchase|Barnes & Noble|-22.50
2025-08-15|13:45|New headphones|Best Buy|-199.99
