2025-10-01|09:00:00|Monthly salary|Payroll|3000.00
2025-10-02|14:22:10|Coffee and croissant|Starbucks|-8.75
2025-10-03|18:45:00|Online course refund|Udemy|49.99
2025-10-04|11:30:00|Groceries|Trader Joe's|-120.40
2025-10-05|16:00:00|Freelance invoice 204|Upwork|850.00
2025-10-06|08:10:00|Subway pass|MTA|-33.00
2025-10-07|12:00:00|Lunch with team|Chipotle|-15.25
2025-09-28|10:00:00|Book purchase|Barnes & Noble|-22.50
2025-09-30|17:30:00|Client payment|Acme Corp|1200.00
2025-08-15|13:45:00|New headphones|Best Buy|-199.99
2025-01-10|09:15:00|Tax refund|IRS|1800.00
